catalog_id,cliente,periodo,tipo_documento,formato,drive_source_link,suggested_drive_folder,suggested_filename,expected_drive_path,processing_status,notes
18,Apem,Jun 2025,EEFF,PDF,https://drive.google.com/file/d/1179LLKqqx3jE9AgF82h38S3dfaaJSCOY/view,EEFF_Covenants_Source/Apem,0018_Apem_Jun_2025_EEFF.pdf,EEFF_Covenants_Source/Apem/0018_Apem_Jun_2025_EEFF.pdf,pending_file_in_drive_folder,
19,Apem,Mar 2023,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1i7zVrbh9e2n5do6n-X-vHmNlhArqVXwh/view,EEFF_Covenants_Source/Apem,0019_Apem_Mar_2023_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0019_Apem_Mar_2023_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
20,Apem,Mar 2024,EF - Apalancamiento,PDF,https://drive.google.com/file/d/178OPntb8aH3ngjzHvC3QGcoAeyuUqeGt/view,EEFF_Covenants_Source/Apem,0020_Apem_Mar_2024_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0020_Apem_Mar_2024_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
21,Apem,Mar 2025,EEFF,PDF,https://drive.google.com/file/d/14I-KEHgR6Pig_EYOBaChp7YM_4qaJVsy/view,EEFF_Covenants_Source/Apem,0021_Apem_Mar_2025_EEFF.pdf,EEFF_Covenants_Source/Apem/0021_Apem_Mar_2025_EEFF.pdf,pending_file_in_drive_folder,
22,Apem,Mar 2026,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1JM1N07U2es85XEpIEuiolecxBvLcWFVR/view,EEFF_Covenants_Source/Apem,0022_Apem_Mar_2026_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0022_Apem_Mar_2026_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
23,Apem,May 2024,EF - Apalancamiento,PDF,https://drive.google.com/file/d/11VTOFKktMgT2Wp-OjXcB6YpGFdvInOwZ/view,EEFF_Covenants_Source/Apem,0023_Apem_May_2024_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0023_Apem_May_2024_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
24,Apem,May 2025,EEFF,PDF,https://drive.google.com/file/d/1g2egDaOfShbOEBOw8XZiRzAPqIYU4NyV/view,EEFF_Covenants_Source/Apem,0024_Apem_May_2025_EEFF.pdf,EEFF_Covenants_Source/Apem/0024_Apem_May_2025_EEFF.pdf,pending_file_in_drive_folder,
25,Apem,Nov 2024,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1iPScZ9uR3r2YR70j9wZnQA_dEE71LQBv/view,EEFF_Covenants_Source/Apem,0025_Apem_Nov_2024_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0025_Apem_Nov_2024_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
26,Apem,Nov 2025,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1gs-LmAccF6NS16pgIvDwWCZJ1FjHeg51/view,EEFF_Covenants_Source/Apem,0026_Apem_Nov_2025_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0026_Apem_Nov_2025_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
27,Apem,Oct 2024,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1PiZCTy6_9YTg_31TcpAgwD8w56a-itE3/view,EEFF_Covenants_Source/Apem,0027_Apem_Oct_2024_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0027_Apem_Oct_2024_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
