ratio,key,formula,result,missing_concepts,review_status,review_reason,document_id,cliente,periodo,tipo_documento,enlace
Margen Neto,margen_neto,utilidad_neta / (ingresos_por_intereses + ingresos_por_comisiones),,"utilidad_neta, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
Rentabilidad Operativa,rentabilidad_operativa,(gastos_por_comisiones + gastos_administracion_venta_operacion) / (ingresos_por_intereses + ingresos_por_comisiones),,"gastos_por_comisiones, gastos_administracion_venta_operacion, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
ROE,roe,utilidad_neta / total_capital_contable,,"utilidad_neta, total_capital_contable",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
ROA,roa,utilidad_neta / total_activo,,"utilidad_neta, total_activo",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
Cartera Vencida,cartera_vencida_ratio,cartera_vencida / cartera_administrada,,"cartera_vencida, cartera_administrada",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
Cartera Vencida Neta,cartera_vencida_neta,(cartera_vencida - estimacion_preventiva) / cartera_administrada,,"cartera_vencida, estimacion_preventiva, cartera_administrada",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
Tasa Activa,tasa_activa,ingresos_por_intereses / cartera_neta,,"ingresos_por_intereses, cartera_neta",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
Tasa Pasiva,tasa_pasiva,gastos_por_intereses / (bancos_y_fondos_cp + bancos_y_fondos_lp),,"gastos_por_intereses, bancos_y_fondos_cp, bancos_y_fondos_lp",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
Apalancamiento,apalancamiento,(bancos_y_fondos_cp + bancos_y_fondos_lp) / total_activo,,"bancos_y_fondos_cp, bancos_y_fondos_lp, total_activo",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
ICAP,icap,total_capital_contable / total_activo,,"total_capital_contable, total_activo",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
ICAP Ajustado,icap_ajustado,total_capital_contable / cartera_neta,,"total_capital_contable, cartera_neta",needs_review,Faltan conceptos requeridos.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
Cobertura de Deuda,cobertura_de_deuda,activos_productivos / total_pasivo,,"activos_productivos, total_pasivo",needs_review,Activos productivos requiere validacion por tipo de entidad.,9,Apem,Dic 2025,EF - Apalancamiento,https://drive.google.com/file/d/1qNu1KqaEfmbdzoLXochvHX1PwH8d9jl4/view
Margen Financiero,margen_financiero,margen_financiero_ajustado / (ingresos_por_intereses + ingresos_por_comisiones),,"margen_financiero_ajustado, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Margen Operativo,margen_operativo,utilidad_operacion_ajustada / (ingresos_por_intereses + ingresos_por_comisiones),,"utilidad_operacion_ajustada, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Margen Neto,margen_neto,utilidad_neta / (ingresos_por_intereses + ingresos_por_comisiones),,"utilidad_neta, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Rentabilidad Operativa,rentabilidad_operativa,(gastos_por_comisiones + gastos_administracion_venta_operacion) / (ingresos_por_intereses + ingresos_por_comisiones),,"gastos_por_comisiones, gastos_administracion_venta_operacion, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
ROE,roe,utilidad_neta / total_capital_contable,,"utilidad_neta, total_capital_contable",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
ROA,roa,utilidad_neta / total_activo,,"utilidad_neta, total_activo",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Cartera Vencida,cartera_vencida_ratio,cartera_vencida / cartera_administrada,,"cartera_vencida, cartera_administrada",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Cartera Vencida Neta,cartera_vencida_neta,(cartera_vencida - estimacion_preventiva) / cartera_administrada,,"cartera_vencida, estimacion_preventiva, cartera_administrada",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Tasa Activa,tasa_activa,ingresos_por_intereses / cartera_neta,,"ingresos_por_intereses, cartera_neta",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Tasa Pasiva,tasa_pasiva,gastos_por_intereses / (bancos_y_fondos_cp + bancos_y_fondos_lp),,"gastos_por_intereses, bancos_y_fondos_cp, bancos_y_fondos_lp",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Apalancamiento,apalancamiento,(bancos_y_fondos_cp + bancos_y_fondos_lp) / total_activo,,"bancos_y_fondos_cp, bancos_y_fondos_lp, total_activo",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
ICAP,icap,total_capital_contable / total_activo,,"total_capital_contable, total_activo",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
ICAP Ajustado,icap_ajustado,total_capital_contable / cartera_neta,,"total_capital_contable, cartera_neta",needs_review,Faltan conceptos requeridos.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Cobertura de Deuda,cobertura_de_deuda,activos_productivos / total_pasivo,,"activos_productivos, total_pasivo",needs_review,Activos productivos requiere validacion por tipo de entidad.,10,Apem,Ene 2024,EF - Apalancamiento,https://drive.google.com/file/d/1UlTUMKMZvy98UTI4Ep1pZhxrLtsdFfyp/view
Margen Financiero,margen_financiero,margen_financiero_ajustado / (ingresos_por_intereses + ingresos_por_comisiones),,"margen_financiero_ajustado, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
Margen Operativo,margen_operativo,utilidad_operacion_ajustada / (ingresos_por_intereses + ingresos_por_comisiones),,"utilidad_operacion_ajustada, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
Margen Neto,margen_neto,utilidad_neta / (ingresos_por_intereses + ingresos_por_comisiones),,"utilidad_neta, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
Rentabilidad Operativa,rentabilidad_operativa,(gastos_por_comisiones + gastos_administracion_venta_operacion) / (ingresos_por_intereses + ingresos_por_comisiones),,"gastos_por_comisiones, gastos_administracion_venta_operacion, ingresos_por_intereses, ingresos_por_comisiones",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
ROE,roe,utilidad_neta / total_capital_contable,,"utilidad_neta, total_capital_contable",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
ROA,roa,utilidad_neta / total_activo,,"utilidad_neta, total_activo",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
Cartera Vencida,cartera_vencida_ratio,cartera_vencida / cartera_administrada,,"cartera_vencida, cartera_administrada",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
Cartera Vencida Neta,cartera_vencida_neta,(cartera_vencida - estimacion_preventiva) / cartera_administrada,,"cartera_vencida, estimacion_preventiva, cartera_administrada",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
Tasa Activa,tasa_activa,ingresos_por_intereses / cartera_neta,,"ingresos_por_intereses, cartera_neta",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
Tasa Pasiva,tasa_pasiva,gastos_por_intereses / (bancos_y_fondos_cp + bancos_y_fondos_lp),,"gastos_por_intereses, bancos_y_fondos_cp, bancos_y_fondos_lp",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
Apalancamiento,apalancamiento,(bancos_y_fondos_cp + bancos_y_fondos_lp) / total_activo,,"bancos_y_fondos_cp, bancos_y_fondos_lp, total_activo",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
ICAP,icap,total_capital_contable / total_activo,,"total_capital_contable, total_activo",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
ICAP Ajustado,icap_ajustado,total_capital_contable / cartera_neta,,"total_capital_contable, cartera_neta",needs_review,Faltan conceptos requeridos.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
Cobertura de Deuda,cobertura_de_deuda,activos_productivos / total_pasivo,,"activos_productivos, total_pasivo",needs_review,Activos productivos requiere validacion por tipo de entidad.,11,Apem,Ene 2025,EF - Apalancamiento,https://drive.google.com/file/d/1ujY8PHjR-i6Jo4j30UILEPochBegSPk5/view
